n,time,stddev
1,0,0
2,0,0
4,0,0
8,0,0
16,0.049999999999999996,0.2179449471770336
32,0,0
64,0,0
128,0.005000001192092895,0.021794499913915827
256,0.02500000149011612,0.04330127277017937
512,0.029999999701976778,0.04582575649432081
1024,0.019999998807907107,0.039999997615814215
2048,0,0
4096,0.005000001192092896,0.021794499913915827
8192,0.010000000894069673,0.030000002682209377
16384,0.0350000023841858,0.04769696331994563
32768,0.03999999910593033,0.048989793760656715
65536,0.07499999850988387,0.04330126932890387
131072,0.17000000178813934,0.06403123948863884
262144,0.3649999946355819,0.047696963007533566
524288,0.7799999982118606,0.05099019209667756
1048576,1.4650000005960464,0.0476969592585733
2097152,3.005000001192093,0.10234744710286879
4194304,6.025000001490116,0.1512448339821397
8388608,12.119999995827676,0.15684386928543972
16777216,24.085000000894073,0.33357907790944424
