n,time,stddev
1.0,3.361701965332031e-06,7.634198643197455e-06
2.0,9.059906005859375e-07,5.7220458984375e-07
4.0,7.62939453125e-07,3.9609069170561197e-07
8.0,7.867813110351562e-07,6.312466762005676e-07
16.0,6.914138793945312e-07,6.258203863337845e-07
32.0,6.437301635742188e-07,4.2716200035021104e-07
64.0,7.390975952148438e-07,4.938200754453655e-07
128.0,5.7220458984375e-07,4.792154131470151e-07
256.0,1.0013580322265625e-06,7.524363440541983e-07
512.0,5.960464477539062e-07,4.915124923727108e-07
1024.0,8.58306884765625e-07,6.503191803448608e-07
2048.0,1.049041748046875e-06,7.478898592642843e-07
4096.0,1.0967254638671874e-06,3.568322550558034e-07
8192.0,2.1219253540039063e-06,7.344685459494288e-07
16384.0,3.314018249511719e-06,1.9323675077392703e-06
32768.0,6.461143493652344e-06,2.829959237038449e-06
65536.0,4.220008850097656e-05,4.869847575565612e-05
131072.0,4.6086311340332034e-05,1.2150485418265361e-05
262144.0,9.815692901611328e-05,2.6823319300992185e-05
524288.0,0.00017817020416259765,3.812163972115583e-05
1048576.0,0.0003108978271484375,9.943278212246848e-05
2097152.0,0.0004577159881591797,0.00015428146389508625
4194304.0,0.0005566120147705078,0.00025780041651902536
8388608.0,0.0013446807861328125,0.0006654205222926827
16777216.0,0.0026280879974365234,0.0014062108326189974
33554432.0,0.005478262901306152,0.0023461516846715992
67108864.0,0.009011006355285645,0.0008761784588659304
134217728.0,0.01682257652282715,0.001011920995116099
268435456.0,0.03786895275115967,0.0006732213428336817
536870912.0,0.08209199905395508,0.0034771666092075428
