n,time,stddev
1,6.56999999997206,7.815631772300196
2,4.76999999997206,4.3968284023590885
4,6.010000000009313,4.72047667087405
8,5.459999999962747,4.894323242298299
16,6.1,6.039867548278277
32,6.119999999972061,5.626686413840522
64,6.3199999999254945,5.8734657571045785
128,5.3899999998975545,5.678811495379454
256,6.360000000009313,5.528507936230172
512,19.070000000065193,6.319501562688438
1024,61.04000000008382,22.953875489741655
2048,154.44000000003726,43.69371121793987
4096,870.5300000000746,12.358159247990066
