n,time,stddev
1.0,2.5987625122070313e-06,5.201078215300162e-06
2.0,1.71661376953125e-06,3.119185722623117e-06
4.0,8.344650268554688e-07,8.546566166369877e-07
8.0,8.58306884765625e-07,7.993247325058083e-07
16.0,1.33514404296875e-06,9.184532301072227e-07
32.0,2.6464462280273437e-06,9.07557788404192e-07
64.0,1.52587890625e-05,2.271867608942336e-06
128.0,0.001585078239440918,0.0033030312299412393
256.0,0.005364155769348145,0.005066936642844022
512.0,0.003315591812133789,0.0018650057260232657
1024.0,0.017447853088378908,0.005601738971572223
2048.0,0.08752248287200928,0.004671796000806641
4096.0,0.4917353868484497,0.026477127893025983
8192.0,3.2263872623443604,0.11836600392863035
16384.0,25.464562630653383,0.6076835242296588
