n,time,stddev
1,0,0
2,0,0
4,0,0
8,0,0
16,0.005000000004656613,0.021794494738001068
32,0.005000000004656613,0.021794494738001068
64,0.030000000004656614,0.08999999998809975
128,0.005000000004656613,0.021794494738001068
256,0.034999999986030164,0.04769696005180961
512,0.03999999999068678,0.1529705853493363
1024,0,0
2048,0.030000000004656614,0.07141428432911627
4096,0.039999999944120644,0.05830951886699555
8192,0.025,0.04330127018922194
16384,0.039999999944120644,0.048989794787225614
32768,0.07000000001862645,0.06403124233942094
65536,0.12000000004190951,0.05099019516515142
131072,0.340000000060536,0.0663324958127241
262144,0.6599999999860302,0.07348469223153319
524288,1.2550000000046566,0.1023474474452414
1048576,2.8200000000419094,0.23366642893128547
2097152,5.364999999897554,0.33507461855713677
