n,time,stddev
1,0.0019999998807907105,0.013999999165534988
2,0,0
4,0.0019999998807907105,0.013999999165534984
8,0.0019999998807907105,0.013999999165534975
16,0.0019999998807907105,0.013999999165534975
32,0.0019999998807907105,0.013999999165534984
64,0.009999999403953552,0.02999999821186065
128,0.01600000023841858,0.036660606105932685
256,0.02600000023841858,0.04820788428059828
512,0.0019999998807907105,0.013999999165534975
1024,0.00800000011920929,0.027129320336759688
2048,0.009999999403953552,0.02999999821186066
4096,0.010000000596046449,0.030000001788139722
8192,0.02,0.04000000000000035
16384,0.02400000035762787,0.042708313644529164
32768,0.046000000238418576,0.04983974343582915
65536,0.07,0.057445627295448005
131072,0.16599999964237214,0.05517245624401523
262144,0.36600000083446504,0.055172458923241435
524288,0.6900000023841858,0.06082762197134332
1048576,1.3799999970197678,0.07483315012498179
2097152,2.7879999965429305,0.09927739031106055
4194304,5.549999998807907,0.14177446895574627
8388608,11.210000001192093,0.2299999986524169
16777216,22.239999998807907,0.39899874238363403
