n,time,stddev
1,4.3,4.515971656250588
2,3.654999999993015,2.208047780271971
4,3.6200000000069847,2.196497211493543
8,3.759999999997672,2.2457515445911067
16,3.8449999999953435,2.394467581740363
32,4.239999999990687,2.3232305094189516
64,4.039999999990687,2.7843132007780342
128,3.8950000000186265,2.38589081897537
256,3.875,2.174137760127902
512,3.8500000000232832,2.1756608191593534
1024,3.9750000000116414,2.361540810569295
2048,3.8999999999417923,2.4120530674242597
4096,3.789999999955762,2.162151706044072
8192,4.560000000055879,1.9499743588033407
16384,4.485000000009313,1.8990194838189292
32768,4.260000000020955,2.228093355283343
65536,4.514999999990687,2.162700857717576
131072,5.094999999960419,2.3650528535690616
262144,5.160000000009314,2.2366045694363508
524288,8.334999999962747,2.2917842394043375
1048576,15.314999999990686,2.4727060075916407
2097152,32.224999999988356,3.0678779310682147
4194304,77.27999999999301,3.481896035205154
8388608,132.2649999999907,3.916410984545302
