n,time,stddev
1,2.9200000047683714,0.6690291573609665
2,2.769999998807907,0.17349351827128578
4,2.8,0.21447609589058186
8,2.7,0.154919340004239
16,2.7899999976158143,0.12206555498541785
32,2.719999998807907,0.19390719687870944
64,2.730000001192093,0.10049874873829902
128,2.780000001192093,0.11661904934567195
256,2.819999998807907,0.18330302792830236
512,2.6400000035762785,0.13564660563850198
1024,2.6900000035762788,0.15779733936269322
2048,2.780000001192093,0.12489997447542853
4096,2.6900000035762788,0.31448370170966666
8192,2.8100000083446504,0.19723084331603344
16384,2.8500000059604647,0.20124612301000552
32768,2.8300000011920927,0.1846618484136474
65536,2.900000011920929,0.19493587833475043
131072,2.829999989271164,0.14866068482695366
262144,3.489999997615814,0.7621679709397146
524288,4.740000003576279,0.5370288710087823
