n,time,stddev
1.0,1.4066696166992188e-06,3.2207693968846722e-06
2.0,5.006790161132813e-07,7.028295027248228e-07
4.0,5.006790161132813e-07,6.611549674922011e-07
8.0,2.86102294921875e-07,4.498472753551771e-07
16.0,4.291534423828125e-07,5.309833872633002e-07
32.0,4.76837158203125e-07,4.88612688348751e-07
64.0,3.814697265625e-07,4.792154131470152e-07
128.0,5.006790161132813e-07,9.503904069898007e-07
256.0,5.483627319335937e-07,5.545474695974829e-07
512.0,3.814697265625e-07,4.792154131470152e-07
1024.0,7.867813110351562e-07,5.844903312745696e-07
2048.0,9.059906005859375e-07,8.649042676552322e-07
4096.0,1.4781951904296875e-06,9.344061823971475e-07
8192.0,4.744529724121093e-06,4.096985862241656e-06
16384.0,5.626678466796875e-06,2.7726348419392833e-06
32768.0,1.1038780212402343e-05,5.965278588721102e-06
65536.0,3.3354759216308595e-05,1.650416342638782e-05
131072.0,7.147789001464844e-05,1.996655604007953e-05
262144.0,0.00013780593872070312,2.6524964328114847e-05
524288.0,0.00028476715087890627,5.368339376903122e-05
1048576.0,0.000601649284362793,9.772854334950062e-05
2097152.0,0.0008581638336181641,0.0003187823344718826
4194304.0,0.002927851676940918,0.00025431380284245727
8388608.0,0.005605721473693847,0.0003780733163308622
16777216.0,0.01158444881439209,0.0008188784927477872
33554432.0,0.0243316650390625,0.0029290607425049558
67108864.0,0.04977505207061768,0.008777916465902171
134217728.0,0.13948605060577393,0.0032936939866087768
